title,source,url,state,category,country,status
NGO Foundation 448,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 449,Generated Dataset,,maharashtra,women,india,active
NGO Foundation 450,Generated Dataset,,maharashtra,women,india,active
NGO Foundation 451,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 452,Generated Dataset,,delhi,health,india,active
NGO Foundation 453,Generated Dataset,,maharashtra,women,india,active
NGO Foundation 454,Generated Dataset,,karnataka,education,india,active
NGO Foundation 455,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 456,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 457,Generated Dataset,,tamil nadu,food,india,active
NGO Foundation 458,Generated Dataset,,delhi,food,india,active
NGO Foundation 459,Generated Dataset,,tamil nadu,environment,india,active
NGO Foundation 460,Generated Dataset,,karnataka,food,india,active
NGO Foundation 461,Generated Dataset,,uttar pradesh,social,india,active
NGO Foundation 462,Generated Dataset,,maharashtra,social,india,active
NGO Foundation 463,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 464,Generated Dataset,,uttar pradesh,social,india,active
NGO Foundation 465,Generated Dataset,,delhi,women,india,active
NGO Foundation 466,Generated Dataset,,karnataka,social,india,active
NGO Foundation 467,Generated Dataset,,delhi,social,india,active
NGO Foundation 468,Generated Dataset,,maharashtra,social,india,active
NGO Foundation 469,Generated Dataset,,delhi,education,india,active
NGO Foundation 470,Generated Dataset,,delhi,food,india,active
NGO Foundation 471,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 472,Generated Dataset,,uttar pradesh,social,india,active
NGO Foundation 473,Generated Dataset,,tamil nadu,environment,india,active
NGO Foundation 474,Generated Dataset,,delhi,education,india,active
NGO Foundation 475,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 476,Generated Dataset,,delhi,health,india,active
NGO Foundation 477,Generated Dataset,,tamil nadu,environment,india,active
NGO Foundation 478,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 479,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 480,Generated Dataset,,maharashtra,food,india,active
NGO Foundation 481,Generated Dataset,,karnataka,social,india,active
NGO Foundation 482,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 483,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 484,Generated Dataset,,delhi,social,india,active
NGO Foundation 485,Generated Dataset,,tamil nadu,environment,india,active
NGO Foundation 486,Generated Dataset,,karnataka,food,india,active
NGO Foundation 487,Generated Dataset,,maharashtra,women,india,active
NGO Foundation 488,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 489,Generated Dataset,,uttar pradesh,education,india,active
NGO Foundation 490,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 491,Generated Dataset,,delhi,social,india,active
NGO Foundation 492,Generated Dataset,,karnataka,women,india,active
NGO Foundation 493,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 494,Generated Dataset,,uttar pradesh,food,india,active
NGO Foundation 495,Generated Dataset,,delhi,education,india,active
NGO Foundation 496,Generated Dataset,,uttar pradesh,environment,india,active
NGO Foundation 497,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 498,Generated Dataset,,delhi,food,india,active
NGO Foundation 499,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 500,Generated Dataset,,karnataka,food,india,active
NGO Foundation 501,Generated Dataset,,delhi,women,india,active
NGO Foundation 502,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 503,Generated Dataset,,karnataka,health,india,active
NGO Foundation 504,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 505,Generated Dataset,,delhi,social,india,active
NGO Foundation 506,Generated Dataset,,delhi,food,india,active
NGO Foundation 507,Generated Dataset,,tamil nadu,food,india,active
NGO Foundation 508,Generated Dataset,,uttar pradesh,environment,india,active
NGO Foundation 509,Generated Dataset,,uttar pradesh,education,india,active
NGO Foundation 510,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 511,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 512,Generated Dataset,,delhi,women,india,active
NGO Foundation 513,Generated Dataset,,tamil nadu,food,india,active
NGO Foundation 514,Generated Dataset,,karnataka,health,india,active
NGO Foundation 515,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 516,Generated Dataset,,maharashtra,women,india,active
NGO Foundation 517,Generated Dataset,,maharashtra,women,india,active
NGO Foundation 518,Generated Dataset,,delhi,women,india,active
NGO Foundation 519,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 520,Generated Dataset,,uttar pradesh,food,india,active
NGO Foundation 521,Generated Dataset,,karnataka,health,india,active
NGO Foundation 522,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 523,Generated Dataset,,maharashtra,food,india,active
NGO Foundation 524,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 525,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 526,Generated Dataset,,karnataka,food,india,active
NGO Foundation 527,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 528,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 529,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 530,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 531,Generated Dataset,,karnataka,education,india,active
NGO Foundation 532,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 533,Generated Dataset,,karnataka,education,india,active
NGO Foundation 534,Generated Dataset,,tamil nadu,environment,india,active
NGO Foundation 535,Generated Dataset,,tamil nadu,environment,india,active
NGO Foundation 536,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 537,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 538,Generated Dataset,,uttar pradesh,education,india,active
NGO Foundation 539,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 540,Generated Dataset,,karnataka,food,india,active
NGO Foundation 541,Generated Dataset,,maharashtra,environment,india,active
NGO Foundation 542,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 543,Generated Dataset,,delhi,education,india,active
NGO Foundation 544,Generated Dataset,,karnataka,food,india,active
NGO Foundation 545,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 546,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 547,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 548,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 549,Generated Dataset,,tamil nadu,food,india,active
NGO Foundation 550,Generated Dataset,,maharashtra,social,india,active
NGO Foundation 551,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 552,Generated Dataset,,delhi,health,india,active
NGO Foundation 553,Generated Dataset,,maharashtra,food,india,active
NGO Foundation 554,Generated Dataset,,maharashtra,social,india,active
NGO Foundation 555,Generated Dataset,,karnataka,health,india,active
NGO Foundation 556,Generated Dataset,,karnataka,health,india,active
NGO Foundation 557,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 558,Generated Dataset,,delhi,education,india,active
NGO Foundation 559,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 560,Generated Dataset,,delhi,health,india,active
NGO Foundation 561,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 562,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 563,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 564,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 565,Generated Dataset,,karnataka,food,india,active
NGO Foundation 566,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 567,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 568,Generated Dataset,,karnataka,health,india,active
NGO Foundation 569,Generated Dataset,,tamil nadu,food,india,active
NGO Foundation 570,Generated Dataset,,karnataka,food,india,active
NGO Foundation 571,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 572,Generated Dataset,,uttar pradesh,environment,india,active
NGO Foundation 573,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 574,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 575,Generated Dataset,,delhi,food,india,active
NGO Foundation 576,Generated Dataset,,karnataka,education,india,active
NGO Foundation 577,Generated Dataset,,delhi,education,india,active
NGO Foundation 578,Generated Dataset,,maharashtra,women,india,active
NGO Foundation 579,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 580,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 581,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 582,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 583,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 584,Generated Dataset,,maharashtra,environment,india,active
NGO Foundation 585,Generated Dataset,,delhi,food,india,active
NGO Foundation 586,Generated Dataset,,tamil nadu,environment,india,active
NGO Foundation 587,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 588,Generated Dataset,,karnataka,food,india,active
NGO Foundation 589,Generated Dataset,,karnataka,education,india,active
NGO Foundation 590,Generated Dataset,,uttar pradesh,food,india,active
NGO Foundation 591,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 592,Generated Dataset,,delhi,food,india,active
NGO Foundation 593,Generated Dataset,,uttar pradesh,social,india,active
NGO Foundation 594,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 595,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 596,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 597,Generated Dataset,,karnataka,education,india,active
NGO Foundation 598,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 599,Generated Dataset,,maharashtra,food,india,active
NGO Foundation 600,Generated Dataset,,karnataka,social,india,active
NGO Foundation 601,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 602,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 603,Generated Dataset,,maharashtra,women,india,active
NGO Foundation 604,Generated Dataset,,karnataka,health,india,active
NGO Foundation 605,Generated Dataset,,maharashtra,food,india,active
NGO Foundation 606,Generated Dataset,,delhi,social,india,active
NGO Foundation 607,Generated Dataset,,uttar pradesh,education,india,active
NGO Foundation 608,Generated Dataset,,delhi,food,india,active
NGO Foundation 609,Generated Dataset,,delhi,environment,india,active
NGO Foundation 610,Generated Dataset,,karnataka,education,india,active
NGO Foundation 611,Generated Dataset,,maharashtra,environment,india,active
NGO Foundation 612,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 613,Generated Dataset,,karnataka,social,india,active
NGO Foundation 614,Generated Dataset,,maharashtra,food,india,active
NGO Foundation 615,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 616,Generated Dataset,,uttar pradesh,food,india,active
NGO Foundation 617,Generated Dataset,,karnataka,women,india,active
NGO Foundation 618,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 619,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 620,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 621,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 622,Generated Dataset,,delhi,food,india,active
NGO Foundation 623,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 624,Generated Dataset,,delhi,education,india,active
NGO Foundation 625,Generated Dataset,,delhi,women,india,active
NGO Foundation 626,Generated Dataset,,tamil nadu,food,india,active
NGO Foundation 627,Generated Dataset,,maharashtra,social,india,active
NGO Foundation 628,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 629,Generated Dataset,,karnataka,food,india,active
NGO Foundation 630,Generated Dataset,,uttar pradesh,social,india,active
NGO Foundation 631,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 632,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 633,Generated Dataset,,maharashtra,environment,india,active
NGO Foundation 634,Generated Dataset,,uttar pradesh,food,india,active
NGO Foundation 635,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 636,Generated Dataset,,karnataka,women,india,active
NGO Foundation 637,Generated Dataset,,delhi,women,india,active
NGO Foundation 638,Generated Dataset,,delhi,social,india,active
NGO Foundation 639,Generated Dataset,,delhi,environment,india,active
NGO Foundation 640,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 641,Generated Dataset,,uttar pradesh,education,india,active
NGO Foundation 642,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 643,Generated Dataset,,delhi,environment,india,active
NGO Foundation 644,Generated Dataset,,uttar pradesh,food,india,active
NGO Foundation 645,Generated Dataset,,karnataka,education,india,active
NGO Foundation 646,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 647,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 648,Generated Dataset,,uttar pradesh,food,india,active
NGO Foundation 649,Generated Dataset,,maharashtra,social,india,active
NGO Foundation 650,Generated Dataset,,maharashtra,environment,india,active
NGO Foundation 651,Generated Dataset,,uttar pradesh,food,india,active
NGO Foundation 652,Generated Dataset,,delhi,food,india,active
NGO Foundation 653,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 654,Generated Dataset,,karnataka,food,india,active
NGO Foundation 655,Generated Dataset,,maharashtra,women,india,active
NGO Foundation 656,Generated Dataset,,maharashtra,environment,india,active
NGO Foundation 657,Generated Dataset,,tamil nadu,food,india,active
NGO Foundation 658,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 659,Generated Dataset,,delhi,women,india,active
NGO Foundation 660,Generated Dataset,,karnataka,food,india,active
NGO Foundation 661,Generated Dataset,,maharashtra,social,india,active
NGO Foundation 662,Generated Dataset,,delhi,education,india,active
NGO Foundation 663,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 664,Generated Dataset,,uttar pradesh,education,india,active
NGO Foundation 665,Generated Dataset,,karnataka,health,india,active
NGO Foundation 666,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 667,Generated Dataset,,delhi,environment,india,active
NGO Foundation 668,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 669,Generated Dataset,,delhi,women,india,active
NGO Foundation 670,Generated Dataset,,delhi,education,india,active
NGO Foundation 671,Generated Dataset,,uttar pradesh,food,india,active
NGO Foundation 672,Generated Dataset,,maharashtra,food,india,active
NGO Foundation 673,Generated Dataset,,karnataka,education,india,active
NGO Foundation 674,Generated Dataset,,uttar pradesh,social,india,active
NGO Foundation 675,Generated Dataset,,maharashtra,social,india,active
NGO Foundation 676,Generated Dataset,,maharashtra,food,india,active
NGO Foundation 677,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 678,Generated Dataset,,maharashtra,social,india,active
NGO Foundation 679,Generated Dataset,,maharashtra,women,india,active
NGO Foundation 680,Generated Dataset,,uttar pradesh,social,india,active
NGO Foundation 681,Generated Dataset,,maharashtra,food,india,active
NGO Foundation 682,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 683,Generated Dataset,,delhi,environment,india,active
NGO Foundation 684,Generated Dataset,,uttar pradesh,social,india,active
NGO Foundation 685,Generated Dataset,,maharashtra,social,india,active
NGO Foundation 686,Generated Dataset,,delhi,food,india,active
NGO Foundation 687,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 688,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 689,Generated Dataset,,karnataka,social,india,active
NGO Foundation 690,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 691,Generated Dataset,,delhi,education,india,active
NGO Foundation 692,Generated Dataset,,delhi,social,india,active
NGO Foundation 693,Generated Dataset,,karnataka,women,india,active
NGO Foundation 694,Generated Dataset,,maharashtra,food,india,active
NGO Foundation 695,Generated Dataset,,delhi,food,india,active
NGO Foundation 696,Generated Dataset,,maharashtra,women,india,active
NGO Foundation 697,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 698,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 699,Generated Dataset,,uttar pradesh,environment,india,active
NGO Foundation 700,Generated Dataset,,karnataka,social,india,active
NGO Foundation 701,Generated Dataset,,karnataka,social,india,active
NGO Foundation 702,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 703,Generated Dataset,,delhi,social,india,active
NGO Foundation 704,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 705,Generated Dataset,,tamil nadu,environment,india,active
NGO Foundation 706,Generated Dataset,,karnataka,women,india,active
NGO Foundation 707,Generated Dataset,,delhi,women,india,active
NGO Foundation 708,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 709,Generated Dataset,,karnataka,health,india,active
NGO Foundation 710,Generated Dataset,,delhi,food,india,active
NGO Foundation 711,Generated Dataset,,maharashtra,food,india,active
NGO Foundation 712,Generated Dataset,,karnataka,education,india,active
NGO Foundation 713,Generated Dataset,,maharashtra,environment,india,active
NGO Foundation 714,Generated Dataset,,maharashtra,environment,india,active
NGO Foundation 715,Generated Dataset,,tamil nadu,food,india,active
NGO Foundation 716,Generated Dataset,,uttar pradesh,education,india,active
NGO Foundation 717,Generated Dataset,,karnataka,education,india,active
NGO Foundation 718,Generated Dataset,,uttar pradesh,food,india,active
NGO Foundation 719,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 720,Generated Dataset,,uttar pradesh,environment,india,active
NGO Foundation 721,Generated Dataset,,delhi,social,india,active
NGO Foundation 722,Generated Dataset,,karnataka,health,india,active
NGO Foundation 723,Generated Dataset,,tamil nadu,environment,india,active
NGO Foundation 724,Generated Dataset,,tamil nadu,environment,india,active
NGO Foundation 725,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 726,Generated Dataset,,delhi,food,india,active
NGO Foundation 727,Generated Dataset,,delhi,education,india,active
NGO Foundation 728,Generated Dataset,,maharashtra,environment,india,active
NGO Foundation 729,Generated Dataset,,maharashtra,social,india,active
NGO Foundation 730,Generated Dataset,,karnataka,women,india,active
NGO Foundation 731,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 732,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 733,Generated Dataset,,uttar pradesh,education,india,active
NGO Foundation 734,Generated Dataset,,delhi,women,india,active
NGO Foundation 735,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 736,Generated Dataset,,karnataka,women,india,active
NGO Foundation 737,Generated Dataset,,maharashtra,women,india,active
NGO Foundation 738,Generated Dataset,,uttar pradesh,food,india,active
NGO Foundation 739,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 740,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 741,Generated Dataset,,delhi,education,india,active
NGO Foundation 742,Generated Dataset,,uttar pradesh,social,india,active
NGO Foundation 743,Generated Dataset,,maharashtra,environment,india,active
NGO Foundation 744,Generated Dataset,,maharashtra,women,india,active
NGO Foundation 745,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 746,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 747,Generated Dataset,,uttar pradesh,social,india,active
NGO Foundation 748,Generated Dataset,,karnataka,women,india,active
NGO Foundation 749,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 750,Generated Dataset,,delhi,women,india,active
NGO Foundation 751,Generated Dataset,,uttar pradesh,education,india,active
NGO Foundation 752,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 753,Generated Dataset,,uttar pradesh,social,india,active
NGO Foundation 754,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 755,Generated Dataset,,uttar pradesh,education,india,active
NGO Foundation 756,Generated Dataset,,karnataka,food,india,active
NGO Foundation 757,Generated Dataset,,maharashtra,food,india,active
NGO Foundation 758,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 759,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 760,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 761,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 762,Generated Dataset,,maharashtra,environment,india,active
NGO Foundation 763,Generated Dataset,,uttar pradesh,education,india,active
NGO Foundation 764,Generated Dataset,,uttar pradesh,social,india,active
NGO Foundation 765,Generated Dataset,,karnataka,social,india,active
NGO Foundation 766,Generated Dataset,,maharashtra,women,india,active
NGO Foundation 767,Generated Dataset,,delhi,food,india,active
NGO Foundation 768,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 769,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 770,Generated Dataset,,karnataka,social,india,active
NGO Foundation 771,Generated Dataset,,delhi,social,india,active
NGO Foundation 772,Generated Dataset,,karnataka,education,india,active
NGO Foundation 773,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 774,Generated Dataset,,karnataka,food,india,active
NGO Foundation 775,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 776,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 777,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 778,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 779,Generated Dataset,,maharashtra,food,india,active
NGO Foundation 780,Generated Dataset,,maharashtra,women,india,active
NGO Foundation 781,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 782,Generated Dataset,,delhi,health,india,active
NGO Foundation 783,Generated Dataset,,delhi,health,india,active
NGO Foundation 784,Generated Dataset,,delhi,food,india,active
NGO Foundation 785,Generated Dataset,,delhi,education,india,active
NGO Foundation 786,Generated Dataset,,delhi,food,india,active
NGO Foundation 787,Generated Dataset,,delhi,women,india,active
NGO Foundation 788,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 789,Generated Dataset,,tamil nadu,food,india,active
NGO Foundation 790,Generated Dataset,,delhi,social,india,active
NGO Foundation 791,Generated Dataset,,uttar pradesh,environment,india,active
NGO Foundation 792,Generated Dataset,,maharashtra,environment,india,active
NGO Foundation 793,Generated Dataset,,uttar pradesh,education,india,active
NGO Foundation 794,Generated Dataset,,uttar pradesh,environment,india,active
NGO Foundation 795,Generated Dataset,,karnataka,education,india,active
NGO Foundation 796,Generated Dataset,,karnataka,women,india,active
NGO Foundation 797,Generated Dataset,,delhi,environment,india,active
NGO Foundation 798,Generated Dataset,,uttar pradesh,environment,india,active
NGO Foundation 799,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 800,Generated Dataset,,delhi,women,india,active
NGO Foundation 801,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 802,Generated Dataset,,maharashtra,social,india,active
NGO Foundation 803,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 804,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 805,Generated Dataset,,delhi,food,india,active
NGO Foundation 806,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 807,Generated Dataset,,tamil nadu,environment,india,active
NGO Foundation 808,Generated Dataset,,delhi,environment,india,active
NGO Foundation 809,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 810,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 811,Generated Dataset,,uttar pradesh,social,india,active
NGO Foundation 812,Generated Dataset,,delhi,health,india,active
NGO Foundation 813,Generated Dataset,,karnataka,women,india,active
NGO Foundation 814,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 815,Generated Dataset,,delhi,education,india,active
NGO Foundation 816,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 817,Generated Dataset,,delhi,health,india,active
NGO Foundation 818,Generated Dataset,,delhi,environment,india,active
NGO Foundation 819,Generated Dataset,,delhi,education,india,active
NGO Foundation 820,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 821,Generated Dataset,,karnataka,food,india,active
NGO Foundation 822,Generated Dataset,,karnataka,social,india,active
NGO Foundation 823,Generated Dataset,,karnataka,social,india,active
NGO Foundation 824,Generated Dataset,,karnataka,women,india,active
NGO Foundation 825,Generated Dataset,,uttar pradesh,social,india,active
NGO Foundation 826,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 827,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 828,Generated Dataset,,delhi,education,india,active
NGO Foundation 829,Generated Dataset,,uttar pradesh,food,india,active
NGO Foundation 830,Generated Dataset,,tamil nadu,environment,india,active
NGO Foundation 831,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 832,Generated Dataset,,delhi,health,india,active
NGO Foundation 833,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 834,Generated Dataset,,uttar pradesh,food,india,active
NGO Foundation 835,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 836,Generated Dataset,,maharashtra,environment,india,active
NGO Foundation 837,Generated Dataset,,karnataka,education,india,active
NGO Foundation 838,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 839,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 840,Generated Dataset,,maharashtra,food,india,active
NGO Foundation 841,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 842,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 843,Generated Dataset,,delhi,health,india,active
NGO Foundation 844,Generated Dataset,,uttar pradesh,education,india,active
NGO Foundation 845,Generated Dataset,,karnataka,women,india,active
NGO Foundation 846,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 847,Generated Dataset,,delhi,environment,india,active
NGO Foundation 848,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 849,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 850,Generated Dataset,,maharashtra,food,india,active
NGO Foundation 851,Generated Dataset,,uttar pradesh,food,india,active
NGO Foundation 852,Generated Dataset,,delhi,women,india,active
NGO Foundation 853,Generated Dataset,,karnataka,food,india,active
NGO Foundation 854,Generated Dataset,,uttar pradesh,food,india,active
NGO Foundation 855,Generated Dataset,,karnataka,health,india,active
NGO Foundation 856,Generated Dataset,,maharashtra,environment,india,active
NGO Foundation 857,Generated Dataset,,tamil nadu,environment,india,active
NGO Foundation 858,Generated Dataset,,uttar pradesh,food,india,active
NGO Foundation 859,Generated Dataset,,delhi,social,india,active
NGO Foundation 860,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 861,Generated Dataset,,delhi,food,india,active
NGO Foundation 862,Generated Dataset,,uttar pradesh,social,india,active
NGO Foundation 863,Generated Dataset,,delhi,education,india,active
NGO Foundation 864,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 865,Generated Dataset,,delhi,health,india,active
NGO Foundation 866,Generated Dataset,,tamil nadu,environment,india,active
NGO Foundation 867,Generated Dataset,,maharashtra,food,india,active
NGO Foundation 868,Generated Dataset,,uttar pradesh,education,india,active
NGO Foundation 869,Generated Dataset,,delhi,health,india,active
NGO Foundation 870,Generated Dataset,,karnataka,food,india,active
NGO Foundation 871,Generated Dataset,,karnataka,social,india,active
NGO Foundation 872,Generated Dataset,,uttar pradesh,social,india,active
NGO Foundation 873,Generated Dataset,,karnataka,education,india,active
NGO Foundation 874,Generated Dataset,,maharashtra,women,india,active
NGO Foundation 875,Generated Dataset,,maharashtra,environment,india,active
NGO Foundation 876,Generated Dataset,,uttar pradesh,environment,india,active
NGO Foundation 877,Generated Dataset,,karnataka,health,india,active
NGO Foundation 878,Generated Dataset,,delhi,education,india,active
NGO Foundation 879,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 880,Generated Dataset,,karnataka,food,india,active
NGO Foundation 881,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 882,Generated Dataset,,karnataka,health,india,active
NGO Foundation 883,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 884,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 885,Generated Dataset,,maharashtra,environment,india,active
NGO Foundation 886,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 887,Generated Dataset,,karnataka,education,india,active
NGO Foundation 888,Generated Dataset,,delhi,food,india,active
NGO Foundation 889,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 890,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 891,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 892,Generated Dataset,,uttar pradesh,education,india,active
NGO Foundation 893,Generated Dataset,,delhi,environment,india,active
NGO Foundation 894,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 895,Generated Dataset,,tamil nadu,women,india,active
